0,1
Datasets\captcha_images_v2\XKFP.jpg,XKFP
Datasets\captcha_images_v2\6VX4.jpg,6VX4
Datasets\captcha_images_v2\WMO6.jpg,WMO6
Datasets\captcha_images_v2\AM6S.jpg,AM6S
Datasets\captcha_images_v2\3FMV.jpg,3FMV
Datasets\captcha_images_v2\Z25G.jpg,Z25G
Datasets\captcha_images_v2\RG38.jpg,RG38
Datasets\captcha_images_v2\WOR9.jpg,WOR9
Datasets\captcha_images_v2\KMXY.jpg,KMXY
Datasets\captcha_images_v2\XPYC.jpg,XPYC
Datasets\captcha_images_v2\VP6H.jpg,VP6H
Datasets\captcha_images_v2\BKUW.jpg,BKUW
Datasets\captcha_images_v2\G6HS.jpg,G6HS
Datasets\captcha_images_v2\H8YH.jpg,H8YH
Datasets\captcha_images_v2\6MAR.jpg,6MAR
Datasets\captcha_images_v2\BBSK.jpg,BBSK
Datasets\captcha_images_v2\VN6A.jpg,VN6A
Datasets\captcha_images_v2\C7Q8.jpg,C7Q8
Datasets\captcha_images_v2\6KFU.jpg,6KFU
Datasets\captcha_images_v2\OMAN.jpg,OMAN
Datasets\captcha_images_v2\ZR6F.jpg,ZR6F
Datasets\captcha_images_v2\33K8.jpg,33K8
Datasets\captcha_images_v2\RXKY.jpg,RXKY
Datasets\captcha_images_v2\94P8.jpg,94P8
Datasets\captcha_images_v2\CPQW.jpg,CPQW
Datasets\captcha_images_v2\H4NC.jpg,H4NC
Datasets\captcha_images_v2\CXBQ.jpg,CXBQ
Datasets\captcha_images_v2\RZJP.jpg,RZJP
Datasets\captcha_images_v2\TNB5.jpg,TNB5
Datasets\captcha_images_v2\8838.jpg,8838
Datasets\captcha_images_v2\59RY.jpg,59RY
Datasets\captcha_images_v2\7BVS.jpg,7BVS
Datasets\captcha_images_v2\V3JU.jpg,V3JU
Datasets\captcha_images_v2\TCGY.jpg,TCGY
Datasets\captcha_images_v2\RN2G.jpg,RN2G
Datasets\captcha_images_v2\V475.jpg,V475
Datasets\captcha_images_v2\09XG.jpg,09XG
Datasets\captcha_images_v2\SOVU.jpg,SOVU
Datasets\captcha_images_v2\RXNK.jpg,RXNK
Datasets\captcha_images_v2\58R4.jpg,58R4
Datasets\captcha_images_v2\QXRP.jpg,QXRP
Datasets\captcha_images_v2\KJ4S.jpg,KJ4S
Datasets\captcha_images_v2\WK94.jpg,WK94
Datasets\captcha_images_v2\NZU8.jpg,NZU8
Datasets\captcha_images_v2\9PC5.jpg,9PC5
Datasets\captcha_images_v2\RWCT.jpg,RWCT
Datasets\captcha_images_v2\49YS.jpg,49YS
Datasets\captcha_images_v2\U862.jpg,U862
Datasets\captcha_images_v2\N9K6.jpg,N9K6
Datasets\captcha_images_v2\JVP8.jpg,JVP8
Datasets\captcha_images_v2\W5B4.jpg,W5B4
Datasets\captcha_images_v2\ZU9E.jpg,ZU9E
Datasets\captcha_images_v2\VVJ3.jpg,VVJ3
Datasets\captcha_images_v2\4FRU.jpg,4FRU
Datasets\captcha_images_v2\MHCG.jpg,MHCG
Datasets\captcha_images_v2\OCCC.jpg,OCCC
Datasets\captcha_images_v2\8PUW.jpg,8PUW
Datasets\captcha_images_v2\SBYP.jpg,SBYP
Datasets\captcha_images_v2\632W.jpg,632W
Datasets\captcha_images_v2\XFH9.jpg,XFH9
Datasets\captcha_images_v2\2HRY.jpg,2HRY
Datasets\captcha_images_v2\364X.jpg,364X
Datasets\captcha_images_v2\MERU.jpg,MERU
Datasets\captcha_images_v2\K3FH.jpg,K3FH
Datasets\captcha_images_v2\GEHC.jpg,GEHC
Datasets\captcha_images_v2\VF3T.jpg,VF3T
Datasets\captcha_images_v2\BK65.jpg,BK65
Datasets\captcha_images_v2\69Q4.jpg,69Q4
Datasets\captcha_images_v2\HZOO.jpg,HZOO
Datasets\captcha_images_v2\3XJR.jpg,3XJR
Datasets\captcha_images_v2\9ONZ.jpg,9ONZ
Datasets\captcha_images_v2\7X8E.jpg,7X8E
Datasets\captcha_images_v2\WSBU.jpg,WSBU
Datasets\captcha_images_v2\QGBP.jpg,QGBP
Datasets\captcha_images_v2\YYGF.jpg,YYGF
Datasets\captcha_images_v2\Y884.jpg,Y884
Datasets\captcha_images_v2\F2X5.jpg,F2X5
Datasets\captcha_images_v2\2MXC.jpg,2MXC
Datasets\captcha_images_v2\FUNT.jpg,FUNT
Datasets\captcha_images_v2\PQJW.jpg,PQJW
Datasets\captcha_images_v2\T8EN.jpg,T8EN
Datasets\captcha_images_v2\MY3N.jpg,MY3N
Datasets\captcha_images_v2\GUGC.jpg,GUGC
Datasets\captcha_images_v2\5JKX.jpg,5JKX
Datasets\captcha_images_v2\WK4J.jpg,WK4J
Datasets\captcha_images_v2\3B3Z.jpg,3B3Z
Datasets\captcha_images_v2\5KX8.jpg,5KX8
Datasets\captcha_images_v2\JPHS.jpg,JPHS
Datasets\captcha_images_v2\UMPH.jpg,UMPH
Datasets\captcha_images_v2\STUC.jpg,STUC
Datasets\captcha_images_v2\PUY7.jpg,PUY7
Datasets\captcha_images_v2\B62C.jpg,B62C
Datasets\captcha_images_v2\2YG3.jpg,2YG3
Datasets\captcha_images_v2\S27J.jpg,S27J
Datasets\captcha_images_v2\3WNS.jpg,3WNS
Datasets\captcha_images_v2\TZ2U.jpg,TZ2U
Datasets\captcha_images_v2\6ENA.jpg,6ENA
Datasets\captcha_images_v2\A3M4.jpg,A3M4
Datasets\captcha_images_v2\FAQJ.jpg,FAQJ
Datasets\captcha_images_v2\789Q.jpg,789Q
Datasets\captcha_images_v2\3GUP.jpg,3GUP
Datasets\captcha_images_v2\3V9C.jpg,3V9C
Datasets\captcha_images_v2\U9HP.jpg,U9HP
Datasets\captcha_images_v2\TRSK.jpg,TRSK
Datasets\captcha_images_v2\4Y23.jpg,4Y23
Datasets\captcha_images_v2\M3WS.jpg,M3WS
Datasets\captcha_images_v2\ZXSP.jpg,ZXSP
Datasets\captcha_images_v2\NQHA.jpg,NQHA
Datasets\captcha_images_v2\G3W7.jpg,G3W7
Datasets\captcha_images_v2\ETRB.jpg,ETRB
Datasets\captcha_images_v2\99K5.jpg,99K5
Datasets\captcha_images_v2\S9SJ.jpg,S9SJ
Datasets\captcha_images_v2\VZ6H.jpg,VZ6H
Datasets\captcha_images_v2\UTCG.jpg,UTCG
Datasets\captcha_images_v2\W9QA.jpg,W9QA
